Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2019","2019","t","10342946.34","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2020","2020","t","10438809.63","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","671","Protein supply quantity (t)","S2941","Animal Products","2021","2021","t","10505288.59","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2010","2010","t","7708277.76","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2011","2011","t","7646744.37","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2012","2012","t","7760665.53","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2013","2013","t","7794783.86","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2014","2014","t","7874076.4","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2015","2015","t","8075552.62","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2016","2016","t","8224321.47","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2017","2017","t","8332046.77","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2018","2018","t","8929461.58","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2019","2019","t","9100392.56","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2020","2020","t","9091619.57","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","681","Fat supply quantity (t)","S2941","Animal Products","2021","2021","t","9131967.61","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2010","2010","kg","114.22","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2011","2011","kg","113.13","E","Estimated value"
